epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse,val_r2,val_smape,learning_rate,model_key,fold_name,test_group
7,0.005720116621409,2.728151321411133,3.5588696002960205,0.2225353261699695,20.35709381103516,22.211204528808597,0.4596670151258561,62.01408386230469,0.00015,A,holdout_F04,F04
8,0.0052697217868268,2.6334891319274902,3.4141733646392822,0.1977890199953135,18.71529197692871,20.93632698059082,0.5199149271519329,50.74005126953125,0.00015,A,holdout_F04,F04
1,0.0610233113579218,8.78873348236084,11.597926139831545,0.1852435280700366,15.481748580932615,20.092653274536133,0.264231199282688,50.02688217163086,0.0003,A,holdout_F05,F05
2,0.0229922770749353,5.5463480949401855,7.095715522766113,0.133411197053973,12.82486343383789,16.98895263671875,0.4739826827264332,44.94440460205078,0.0003,A,holdout_F05,F05
3,0.0149090611406839,4.471836090087891,5.713249683380127,0.1697721691135515,14.30595874786377,19.19560432434082,0.3284623196010405,47.839969635009766,0.0003,A,holdout_F05,F05
4,0.0115858382227136,3.9092071056365967,5.0360636711120605,0.2086337508371547,16.19504737854004,21.432891845703125,0.1628017572723191,50.72869110107422,0.0003,A,holdout_F05,F05
5,0.0096045366872075,3.574678421020508,4.58361291885376,0.2646260429511287,18.909637451171875,24.355810165405277,-0.081115027742145,54.98042678833008,0.00015,A,holdout_F05,F05
6,0.0064432305766835,2.893470048904419,3.752331256866455,0.1994328575242779,15.768390655517578,20.897802352905277,0.2040826338080273,50.22414779663086,0.00015,A,holdout_F05,F05
7,0.0061376964530038,2.8030004501342773,3.665400266647339,0.1939617812054699,16.230329513549805,20.540977478027344,0.2310307431846869,51.29795837402344,0.00015,A,holdout_F05,F05
1,0.0625638157918163,9.37917709350586,12.430418968200684,0.1363180491537334,15.71228313446045,18.238983154296875,0.3872239750701463,50.49411010742188,0.0003,A,holdout_F06,F06
2,0.0192026684922371,5.320414066314697,6.835517406463623,0.1258596036602063,16.303314208984375,17.52701187133789,0.4341305161229597,49.900333404541016,0.0003,A,holdout_F06,F06
3,0.0118559210867531,4.257319927215576,5.378798484802246,0.1588297220390617,18.0148868560791,19.688854217529297,0.2859290392189351,54.140872955322266,0.0003,A,holdout_F06,F06
4,0.0095930743682882,3.811123609542847,4.836665153503418,0.0925295176514466,13.674144744873049,15.026775360107422,0.584058668157106,46.20568084716797,0.0003,A,holdout_F06,F06
5,0.0078736973222812,3.4339585304260254,4.384661674499512,0.1123123768767392,15.06883430480957,16.554563522338867,0.4951806729846981,49.09264755249024,0.0003,A,holdout_F06,F06
6,0.0086839101897775,3.5911784172058105,4.603703022003174,0.1094457033548777,13.130254745483398,16.3413143157959,0.5081026108358673,45.708126068115234,0.0003,A,holdout_F06,F06
7,0.0078530424127107,3.3991284370422363,4.376806259155273,0.1218448934346638,16.059913635253906,17.244524002075195,0.4522241170352703,50.07377243041992,0.0003,A,holdout_F06,F06
8,0.0072435478355639,3.284114122390747,4.205733299255371,0.0712921089324408,11.99485206604004,13.190041542053224,0.6795259599759476,42.68742370605469,0.0003,A,holdout_F06,F06
9,0.0063935740504521,3.109032392501831,3.952054262161255,0.0689402533778382,11.394979476928713,12.96910572052002,0.6901720558961422,42.09177017211914,0.0003,A,holdout_F06,F06
10,0.0061643170535298,3.0178117752075195,3.8804640769958496,0.11648000669204,14.9315185546875,16.85938262939453,0.4764190580983518,48.88197326660156,0.0003,A,holdout_F06,F06
11,0.0060598072139066,2.997091293334961,3.846955537796021,0.1380881202398135,15.744688034057615,18.35631561279297,0.3793146215520949,50.4874153137207,0.0003,A,holdout_F06,F06
12,0.0063431807222482,3.0445456504821777,3.913997888565064,0.0709612434467409,11.178717613220217,13.15784740447998,0.6810885243950535,42.00661087036133,0.0003,A,holdout_F06,F06
13,0.0056772844635818,2.8744101524353027,3.722773790359497,0.1452414721543145,16.32233428955078,18.83158302307129,0.3467578860654035,51.06924057006836,0.0003,A,holdout_F06,F06
